# A phi l a0 a1 a2 a3 a4 a5 logL logPrior
7.808354518548688006e-02 6.349929328669713158e+00 1.130814121894298019e+01 2.577644596200002979e+03 -4.413333335455230554e+03 8.663627762046276985e+03 -8.749843635452798480e+03 4.652798158101400986e+03 -9.063546728830069696e+02 -1.330351684191633415e+10 -3.959344711998390665e+01
4.325522765733664232e-01 5.913334839601271931e+00 1.301534343266458471e+01 2.565266520073622814e+03 -4.125155962797703978e+03 8.409344063387952701e+03 -9.186679034174272601e+03 4.842457786732120439e+03 -8.256622779576849780e+02 -1.306215179635388947e+10 -3.959344711998390665e+01
4.490594210244502199e-02 4.820826246760039346e+00 1.138121726493079855e+01 2.655195229753446711e+03 -4.330059368636018917e+03 8.267254666390528655e+03 -8.604399160360893802e+03 4.739000153534432684e+03 -9.216113623183940717e+02 -1.280669048381438255e+10 -3.959344711998390665e+01
4.776766116103074999e-01 5.892951861952504977e+00 1.214013657401226531e+01 2.617886362138249751e+03 -3.913562199771181895e+03 8.529527509477988133e+03 -9.093902577979002672e+03 4.566166453572398495e+03 -8.457484694587811873e+02 -1.277770141363702202e+10 -3.959344711998390665e+01
5.220881879958699096e-02 6.608481486784657299e+00 1.221454522187231007e+01 2.639933270934875509e+03 -4.275503168355726302e+03 8.836031318527928306e+03 -8.872639151490535369e+03 4.557291973996620982e+03 -9.909978552556375462e+02 -1.249661474298513222e+10 -3.959344711998390665e+01
2.689828658692192676e-01 7.053360934488769551e+00 1.141968326177944348e+01 2.668047447520693368e+03 -4.444948674672679772e+03 8.795965900684459484e+03 -8.722861160636026398e+03 4.322302503560924379e+03 -9.853664789984378558e+02 -1.222528057215852737e+10 -3.959344711998390665e+01
2.084986202823041757e-01 4.791455735918820125e+00 1.153658356785944505e+01 2.612611202406825214e+03 -4.110934486599420779e+03 8.258694375918490550e+03 -8.827334142964653438e+03 4.503974812739830668e+03 -8.127255105359168965e+02 -1.126119700638556480e+10 -3.959344711998390665e+01
7.302300939709507888e-02 5.085820174077238853e+00 1.139384008829494732e+01 2.686395878639815692e+03 -3.922795585081680656e+03 8.291936354665802355e+03 -8.744824480571955064e+03 4.379184237068976472e+03 -8.738009855146649443e+02 -1.118190858054027939e+10 -3.959344711998390665e+01
1.064737878567513507e-01 6.234323990594479170e+00 1.318226120267433643e+01 2.660918227029134414e+03 -4.358009846648054918e+03 8.228477871933300776e+03 -8.503554176277049919e+03 4.571919883474938615e+03 -8.992179244389166115e+02 -1.108001703539571381e+10 -3.959344711998390665e+01
1.785329605416299814e-01 6.272391247153744409e+00 1.149325691677405281e+01 2.602777379916645259e+03 -4.142730906704837253e+03 8.403622583588759881e+03 -8.748011502023640787e+03 4.590812210535857048e+03 -8.473682309664743570e+02 -1.085282996276418304e+10 -3.959344711998390665e+01
3.857825421779654818e-01 4.962883924564448712e+00 1.270642096354022854e+01 2.695536712609402002e+03 -4.093059146931274881e+03 8.648781287848249121e+03 -9.300622263090368506e+03 4.527538402406375099e+03 -8.500732218654122789e+02 -1.059248112498388100e+10 -3.959344711998390665e+01
6.879549896616350413e-01 4.744616404418246169e+00 1.249918266447231119e+01 2.593295167681980274e+03 -4.169617117531014628e+03 8.739552836708000541e+03 -8.850887234091585924e+03 4.462434645307212122e+03 -8.916659555932773173e+02 -1.053258480839358711e+10 -3.959344711998390665e+01
2.710527673636917712e-01 5.468687062541681243e+00 1.330278467940419418e+01 2.636828909234658568e+03 -4.149508120807156047e+03 8.980575749580119009e+03 -9.160065028359131247e+03 4.264557265384668426e+03 -8.521376112355625310e+02 -1.034385903992566872e+10 -3.959344711998390665e+01
7.209488209081975629e-01 4.827174148456411906e+00 1.377438685169729737e+01 2.618071827063568435e+03 -4.120615084848542210e+03 8.887872185831562092e+03 -9.117547239370986063e+03 4.423838075975369975e+03 -8.440987653525056658e+02 -9.905599908695451736e+09 -3.959344711998390665e+01
7.289321924914454742e-01 5.514970090850232154e+00 1.136462009443703813e+01 2.515597369049693498e+03 -3.984684884030737976e+03 9.020445562179578701e+03 -9.279714683488627998e+03 4.286650119186145275e+03 -8.477798601021775085e+02 -9.452200227645456314e+09 -3.959344711998390665e+01
5.436079685293364605e-01 7.689496487069391151e+00 1.144802637301063442e+01 2.642998307101021055e+03 -4.267695384659862611e+03 8.944536697927163914e+03 -8.891156339924782515e+03 4.373541593027417548e+03 -9.614090234177856473e+02 -9.376127102827661514e+09 -3.959344711998390665e+01
1.882843301201977612e-02 5.105381721993722977e+00 1.131717341736856142e+01 2.617151792347056471e+03 -4.222861044699689955e+03 9.102458135063654481e+03 -9.298257770731899654e+03 4.507641949872924670e+03 -8.542160874759159697e+02 -9.122896154685092926e+09 -3.959344711998390665e+01
8.499999143265379864e-01 5.358126243458575466e+00 1.234062203530470825e+01 2.582117623299451679e+03 -4.217316808288841457e+03 8.444362822433298788e+03 -8.800387873193250925e+03 4.722837402769706387e+03 -9.169972452931626776e+02 -8.570844999520446777e+09 -3.959344711998390665e+01
1.667065339453289996e-01 5.582428517683444724e+00 1.183790588043508407e+01 2.661490179650068058e+03 -4.281129440644604983e+03 9.007497686159964360e+03 -9.028128916000065146e+03 4.395660710263288820e+03 -9.806773553358301569e+02 -8.510098583985714912e+09 -3.959344711998390665e+01
4.220769506735900234e-01 7.747500939647339990e+00 1.283642249424670645e+01 2.642065019447069517e+03 -4.428128997431639618e+03 8.529589901771796576e+03 -8.630652756872827013e+03 4.619148687670895924e+03 -9.279773027984236933e+02 -8.400162162688357353e+09 -3.959344711998390665e+01
7.010409982171570409e-01 5.471305999029709710e+00 1.355052962164547736e+01 2.571456922982681135e+03 -3.975629356620931048e+03 8.299755631970705508e+03 -8.741551878444233807e+03 4.538604794981875784e+03 -8.403460090753195573e+02 -8.122102397884832382e+09 -3.959344711998390665e+01
9.089558525196639316e-01 7.430166346350559614e+00 1.254605189812379074e+01 2.608994951080327155e+03 -4.408592778741657639e+03 8.960891293432843668e+03 -9.110790178850882512e+03 4.564364533233526345e+03 -9.616666388177588942e+02 -7.931547522895524025e+09 -3.959344711998390665e+01
5.976541769626857181e-02 5.283776318024406393e+00 1.209276733551794258e+01 2.500418805729834276e+03 -4.031495108312146385e+03 9.028974263899208381e+03 -9.170844665462460398e+03 4.449087643098338049e+03 -9.586937696208386797e+02 -7.563514887488648415e+09 -3.959344711998390665e+01
6.691033181919082695e-01 6.013860207004564806e+00 1.270774104476392807e+01 2.659618225420270392e+03 -4.179280038065153349e+03 8.643156227335424774e+03 -8.769619528460490983e+03 4.364946662221351289e+03 -8.744528306430814837e+02 -7.499709692019717216e+09 -3.959344711998390665e+01
